Company,Counts
Trungnam Wind Power (Công ty Cổ phần Điện gió Trung Nam),1
EVN GENCO 2 - Vietnam Electricity (EVN),1
Geruco Song Con Hydropower G,1
Northern Cement Comercial JSC,1
"Pacifico Energy (US), Dragon Capital (UK)",1
"Univergy International, Europe Clean Energies, Thanh Nien Media Corporation JSC",1
Công ty cổ phần LICOGI 13,1
Song Da Corporation,1
Công ty Cổ phần thủy điện Thác Mơ,1
Thuan Hoa Hydropower Joint-Stock Company,1
"Sharp Energy Solutions Corporation, T&T Group JSC, Ninh Thuan Energy Industry JSC",1
"Hanoi Thien Y Environmental Energy (Cổ phần năng lượng môi trường Thiên Ý Hà Nội), subsidiary of China Tianying",1
Nam Chien Hydro Power JSC.,1
Ca Mau Renewable Energy Investment JSC,1
Trung Viet Co. Ltd.,1
Ke Go Hydropower JSC,1
Truong Thinh Group JSC.,1
"Công ty CP Super Wind Energy Công Lý 1, changed from Công ty Xây dựng - Thương mại - Du lịch Công Lý",1
tập đoàn KOSY,1
Nuoc Trong Hydropower JSC,1
Dak Lo- Song Da 3 JSC,1
"Simuang Group (87 PCT), Phudoi Development Co.(13 PCT)",1
Ca Du Hydro Power Constructing JSC,1
Vinacomin (Vietnam) Tập đoàn công nghiệp Than - Khoáng sản Việt Nam,1
"Cat Nam Trading - Services and Production Company, Limited",1
Công công ty điện mặt trời GP SOLAR,1
PetroVietnam,1
Xuan Thien Trading Construction Investment and Development Co,1
"Bamboo Capital Group BCG (Tập đoàn Bamboo Capital) and Bang Duong Construction Co. Ltd. (Công ty TNHH Xây dựng Băng Dương - EPC), through BCG Bang Duong JSC",1
JAKS,1
Song Hong Joint Stock Corporation,1
Cao Bang Hydropower- Metallurgic Company,1
Xuan Thanh Group,1
Cty CP Điện mặt trời Tuấn Ân,1
SolarESCO (a Solar BK subsidiary) (Vietnam),1
Nghia Gia Development Company Limited,1
Công ty CP Năng lượng Sông Lam Sơn La,1
Công ty TNHH Đầu tư và Xây dựng Sông Lam,1
"Công ty TNHH Quản Lý Và Đầu Tư Tín Thác Hoàng Thái Gia (Vietnam), công ty cổ phần điện mặt trời HCG Tây Ninh (Vietnam)",1
Northern Electricity development and investment JSC. No.2,1
Dak Lay Hydropower Co. Ltd,1
Southern Hydropower JSC (Vietnam),1
North - West JSC (Vietnam),1
"Lam Son Construction & Commerce Co., Ltd.",1
Dak Srong JSC.,1
HBRE Wind Power Solution Co,1
Công ty CP Đầu tư xây dựng và thương mại Phú Điền (Vietnam),1
Ta Niet Hydro Power JSC,1
Tổng CTCP Xây dựng Điện Việt Nam,1
"Gia Lai Cane Sugar and Thermoelectricity Joint Stock Company (SEC), Investment and Trade Consultancy Company Limited (ITRACO)",1
"Keangnam Enterprises, Hanoi Industrial Construction and Investment JSC",1
PVN (Vietnam),1
Quang Ngai Sugar Cane JSC,1
Công ty TNHH Phước An (tỉnh Vĩnh Phúc) liên doanh với một số công ty,1
Dien Luc 3 Hydro Power JSC.,1
Sembcorp Utilities Singapore,1
Trungnam Group,1
Hacom Energy Co. Ltd.,1
Vedan Vietnam Joint Stock Company,1
Công ty Cổ phần Năng Lượng Bắc Phương (Vietnam),1
Me Kong Construction JSC.,1
Colben Energy JSC.,1
"Sharp Corporation, TTC Group",1
Song da- Hoang Lien Hydropower JSC.,1
Vietnam Gelex CTCP Thiết bị điện Việt Nam (Vietnam) & Thailand PSTC (Thailand),1
Geruco Song Con Hydropower JSC,1
Southern Hydropower JSC.,1
Công ty CP điện gió Phong Liệu (Vietnam),1
"Quoc Vinh Soc Trang Wind Power Co., Ltd.",1
"EVN, Vietracimex-Marubeni",1
"Mekong Energy Limited (France, Japan)",1
Mien Trung Construction Corporation,1
Son Vu Energy Development JSC,1
Petrovietnam (Tập đoàn Dầu khí Việt Nam),1
Tra Xom Hydropower JSC,1
Công ty Cổ phần thủy điện Nậm Sì Lường 1,1
Hong Ngoc Co. Ltd,1
Công ty CP Năng lượng Long Sơn (SPV),1
Solar BK (Tập đoàn Năng lượng Mặt Trời Bách Khoa),1
"Halcom (Công ty HALCOM Việt Nam), previously Central Wind power JSC ( Công ty Phong điện Miền Trung) (Vietnam)",1
Quadran International (France) Công ty CP năng lượng và công nghệ cao Bình Định (Vietnam),1
Cao Nguyen - Song Da Hydro Power JSC,1
Hoa Dau Long Son Limited Company (Vietnam) Công ty TNHH Hóa dầu Long Sơn (LSP),1
"Dohwa Green Energy Co., Ltd.",1
"Sembcorp Utilities Vietnam, EVN",1
Ialy Hydropower Company,1
South East Asia Corporation,1
"Sunseap, InfraCo Asia, CMX Renewable Energy Canada",1
Northern Electrical Development (Vietnam),1
Công ty TNHH tư vấn công nghệ và đầu tư THT (Hà Nội),1
Công ty TNHH Hưng Tín (Vietnam),1
Viet Nguyen Construction JSC.,1
"Binh Minh Company, Ltd.",1
Song Tranh 3 Hydro Power JSC,1
Long Tao Dien Bien JSC,1
"The Blue Circle (Singapore), Công ty cổ phần TSV",1
"Consortium: 1) TTC (Vietnam), 2) Sharp Energy Solutions (Japan), 3) Sharp Solar Solutions (Thailand)",1
Tan Phat JSC.,1
Trung Nam Power,1
Dak Doa Hydropower JSC.,1
Gia Lai Electricity Joint Stock Company - a TTC Group subsidiary (Vietnam),1
Công ty cổ phần Đầu tư Xây dựng và Thương mại Hà Thao,1
Thac Mo Hydropower JSC (Vietnam),1
Công ty CP Đầu tư xây dựng và thương mại Phú Điền,1
TNK BP (UK),1
Thai Bao Production Trading Services and Investment Consultancy JSC.,1
Công ty Cổ phần Tae Kwang Vina Industrial,1
An Khanh - Bac Giang Thermal Power JSC,1
Công ty Cổ phần đầu tư Quang điện Bình Thuận,1
PC 3 Investment JSC.,1
Manh Nam Pressure Mechanical JSC,1
Consortium of Hung Bac Energy Investment and Thang Long Real Estate Investment (Liên danh Công ty Cổ phần Đầu tư năng lượng Hưng Bắc và Công ty Cổ phần Đầu tư Thương mại và Kinh doanh bất động sản Thăng Long) (Viet,1
"Dai Hai Power Investment and Development Joint Stock Company - Công ty CP đầu tư và phát triển điện Đại Hải (Vietnam), Công ty CP điện mặt trời Srêpốk",1
Ialy Hydro Power Company (member of EVN),1
VINACONEX (Vietnam),1
Cty Điện lực miền Trung,1
"TaeKwang Vina Industrial Công ty Cổ phần Tae Kwang Vina Industrial, First National Operation & Maintenance Co. (NOMAC)",1
Cty CP Khai thác thủy điện Sông Giang,1
Công ty Cổ phần điện gió Hướng Linh 3 (SPV with equity by Công ty Trách nhiệm hữu hạn Điện gió Hướng Phùng),1
Marubeni Corporation (Japan) & Korea Electric Power Company (South Korea) Tập đoàn Điện lực Hàn Quốc và Tập đoàn Marubeni,1
